ticker	lastOpen	lastClose	Index	Market Cap	Income	Sales	Book/sh	Cash/sh	Dividend	Dividend %	Employees	Optionable	Shortable	Recom	P/E	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	Quick Ratio	Current Ratio	Debt/Eq	LT Debt/Eq	SMA20	EPS (ttm)	EPS next Y	EPS next Q	EPS this Y	EPS next 5Y	EPS past 5Y	Sales past 5Y	Sales Q/Q	EPS Q/Q	Earnings	SMA50	Insider Own	Insider Trans	Inst Own	ROA	ROE	ROI	Gross Margin	Oper. Margin	Profit Margin	Payout	Shs Outstand	Shs Float	Short Float	Short Ratio	Target Price	52W Range	52W High	52W Low	RSI (14)	Rel Volume	Avg Volume	Perf Week	Perf Month	Perf Quarter	Perf Half Y	Perf Year	Perf YTD	Beta	ATR	Volatility	Prev Close	Price
HTGC	14.09	14.28	-	1.74B	105.00M	277.40M	11.27	0.49	1.32	9.24%	90	Yes	Yes	2.10	15.05	9.55	3.01	6.27	1.27	29.33	-	-	-	0.99	0.99	5.70%	0.95	1.50	0.31	-26.00%	5.00%	10.20%	9.90%	-5.20%	-106.60%	May 05 AMC	-1.83%	1.10%	0.77%	27.00%	-	-	5.70%	78.70%	-	-	-	118.30M	117.00M	5.54%	4.28	18.11	12.61 - 18.90	-24.45%	13.20%	55.82	0.45	1.51M	5.86%	1.56%	-21.32%	-12.15%	-14.19%	-12.31%	1.31	0.36	2.86% 2.66%	14.04	18.11
PAX	13.94	13.85	-	756.76M	122.50M	235.50M	4.03	3.06	0.81	5.83%	390	Yes	Yes	2.20	15.44	8.41	0.37	3.21	3.44	4.53	-	2.30	2.30	0.01	0.01	1.56%	0.90	1.65	0.25	97.10%	42.24%	-	-	45.30%	-12.90%	May 10 BMO	-8.89%	-	-	98.80%	22.90%	27.90%	21.20%	63.20%	51.70%	52.00%	79.00%	139.91M	51.75M	0.83%	1.52	22.90	12.72 - 19.49	-28.94%	8.88%	45.55	0.40	281.24K	4.77%	-11.45%	-21.17%	-13.60%	-12.40%	-14.51%	-	0.55	2.84% 4.20%	13.95	22.90
FCPT	27.32	27.36	-	2.18B	87.30M	207.00M	12.13	0.73	1.33	4.86%	461	Yes	Yes	2.00	24.43	22.88	-	10.54	2.26	37.57	-	-	-	0.99	0.99	3.44%	1.12	1.20	0.28	3.10%	-	-15.80%	10.00%	16.50%	2.50%	Jul 26 AMC	2.18%	1.20%	2.04%	98.10%	4.70%	9.50%	6.40%	-	58.00%	42.10%	114.50%	80.19M	79.47M	5.25%	7.42	29.50	24.24 - 30.13	-9.19%	12.87%	56.81	0.51	561.75K	2.90%	-1.48%	-1.23%	-5.36%	-2.53%	-6.97%	0.84	0.65	2.04% 2.55%	27.16	29.50
VYNE	0.47	0.49	-	26.69M	-61.50M	10.80M	1.01	0.92	-	-	28	Yes	Yes	2.00	-	-	-	2.47	0.48	0.53	-	-	7.10	0.00	0.00	2.20%	-1.17	-0.67	-0.17	81.90%	-	11.10%	85.40%	0.00%	29.50%	May 12 AMC	11.78%	2.90%	0.00%	18.10%	-55.50%	-80.80%	-139.10%	74.60%	-	-	-	55.39M	54.10M	2.34%	2.79	5.80	0.34 - 3.14	-84.50%	43.15%	55.12	0.29	453.38K	25.15%	10.61%	-20.21%	-53.20%	-84.04%	-52.28%	1.04	0.04	8.14% 9.51%	0.46	5.80
TY	27.04	26.94	-	1.41B	-	64.65M	37.65	-	1.11	4.12%	-	No	Yes	-	2.47	-	-	21.79	0.72	-	-	-	-	-	-	1.28%	10.93	-	-	-	-	-7.57%	-	9.40%	-45.30%	-	-2.57%	-	-	13.64%	-	-	-	-	-	-	-	52.29M	-	-	14.10	-	25.26 - 32.94	-18.22%	6.65%	49.32	1.24	57.49K	2.94%	-7.15%	-10.69%	-16.05%	-11.10%	-17.41%	-	0.58	1.91% 2.21%	27.08	-
CMPX	2.88	2.85	-	289.71M	-81.90M	-	1.33	1.34	-	-	24	No	Yes	1.60	-	-	-	-	2.14	2.12	-	15.00	15.00	0.00	0.00	8.92%	-1.39	-0.55	-0.10	-36.40%	-	-	-	-	50.90%	-	18.15%	5.30%	18.61%	61.50%	-87.10%	-100.10%	-	-	-	-	-	100.86M	90.30M	0.09%	0.40	9.29	1.25 - 5.40	-47.31%	127.60%	57.86	0.29	208.52K	7.36%	7.77%	55.46%	-17.06%	-47.31%	-10.25%	-	0.26	10.12% 10.37%	2.86	9.29
DTEA	1.41	1.37	-	37.61M	56.20M	78.10M	1.36	0.64	-	-	204	Yes	Yes	-	0.67	-	-	0.48	1.01	2.15	-	1.80	3.50	0.26	0.21	-22.92%	2.04	-	-	231.20%	-	83.90%	-13.60%	-12.10%	-163.50%	Jun 14 AMC	-30.31%	46.49%	0.00%	11.40%	99.80%	153.60%	128.20%	40.90%	71.20%	72.00%	0.00%	26.43M	14.16M	0.66%	3.41	-	1.32 - 4.69	-70.79%	3.79%	23.93	0.93	27.57K	-21.59%	-31.16%	-51.93%	-55.81%	-66.26%	-55.81%	2.93	0.14	10.65% 9.34%	1.42	-
BRIVU	9.77	9.77	-	-	-	-	-0.11	-	-	-	-	No	Yes	-	-	-	-	-	-	-	-	-	-	-	-	-0.23%	-	-	-	-	-	-	-	-	-	-	-1.10%	-	-	15.55%	-	-	-	-	-	-	-	-	16.54M	0.00%	0.00	-	9.76 - 10.81	-9.62%	0.10%	42.61	0.00	7.37K	-0.20%	-0.71%	-2.40%	-1.92%	-	-1.21%	-	0.06	0.15% 0.16%	9.77	-
BSKYU	9.78	9.76	-	-	-	-	-0.53	-	-	-	-	No	Yes	-	-	-	-	-	-	-	-	-	-	-	-	-0.36%	-	-	-	-	-	-	-	-	-	-	-0.81%	-	-	45.49%	-	-	-	-	-	-	-	-	30.00M	0.00%	0.12	-	9.74 - 10.27	-4.97%	0.21%	45.78	1.92	7.22K	-0.41%	-0.20%	-0.10%	-2.01%	-	-0.31%	-	0.08	0.55% 0.39%	9.79	-
RIV	14.33	14.38	-	186.50M	-	-	-	-	2.04	14.19%	-	No	Yes	-	-	-	-	-	-	-	-	-	-	-	-	3.36%	-	-	-	-	-	-	-	-	-	Jun 13 BMO	1.57%	1.38%	2.88%	16.65%	-	-	-	-	-	-	-	12.97M	-	-	0.49	-	12.56 - 18.48	-22.18%	14.49%	55.56	0.78	101.27K	1.84%	-2.77%	-11.01%	-12.69%	-21.08%	-9.84%	-	0.32	1.38% 2.46%	14.28	-
