"Symbol","Description","Universe","Schwab Equity Rating","Sector","Industry","Sub-Industry"
"A","Agilent Technologies Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"AAP","Advance Auto Parts Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Automotive Retail"
"AAPL","Apple Inc","Domestic","A","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"ABBV","Abbvie Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"ABT","Abbott Laboratories","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"ACI","Albertsons Companies Inc","Domestic","A","Consumer Staples","Food & Staples Retailing","Food Retail"
"ACN","Accenture PLC","Domestic","A","Information Technology","IT Services","IT Consulting & Other Services"
"ADUS","Addus Homecare Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"ALLK","Allakos Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"AMED","Amedisys Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"AMEH","Apollo Medical Holdings Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"AMGN","Amgen Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"AMN","AMN Healthcare Services Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"AMPH","Amphastar Pharmaceuticals Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"AMRX","Amneal Pharmaceuticals Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"AN","AutoNation Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Automotive Retail"
"ANGO","AngioDynamics Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"ANIK","Anika Therapeutics Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"ANIP","ANI Pharmaceuticals Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"ANTM","Anthem Inc","Domestic","A","Health Care","Health Care Providers & Services","Managed Health Care"
"APG","APi Group Corp","Domestic","A","Industrials","Construction & Engineering","Construction & Engineering"
"APR","Apria Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"ARAY","Accuray Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"ASGN","ASGN Inc","Domestic","A","Industrials","Professional Services","Human Resource & Employment Services"
"ASO","Academy Sports & Outdoors Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Specialty Stores"
"ATLC","Atlanticus Holdings Corp","Domestic","A","Financials","Consumer Finance","Consumer Finance"
"ATRC","AtriCure Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"AVGO","Broadcom Inc","Domestic","A","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"AVNS","Avanos Medical Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"AVTR","Avantor Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"AXGN","AxoGen Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"AZO","Autozone Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Automotive Retail"
"BBY","Best Buy Co Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Computer & Electronics Retail"
"BC","Brunswick Corp","Domestic","A","Consumer Discretionary","Leisure Products","Leisure Products"
"BCC","Boise Cascade Co","Domestic","A","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"BCEI","Bonanza Creek Energy Inc","Domestic","A","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production"
"BDSI","BioDelivery Sciences International Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"BDX","Becton Dickinson and Co","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"BHF","Brighthouse Financial Inc","Domestic","A","Financials","Insurance","Life & Health Insurance"
"BIIB","Biogen Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"BKD","Brookdale Senior Living Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"BKE","Buckle Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Apparel Retail"
"BLFS","BioLife Solutions Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"BMY","Bristol-Myers Squibb Co","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"BVS","Bioventus Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"CARS","Cars.com Inc","Domestic","A","Communication Services","Interactive Media & Services","Interactive Media & Services"
"CBAN","Colony Bankcorp Inc","Domestic","A","Financials","Banks","Regional Banks"
"CCRN","Cross Country Healthcare Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"CDMO","Avid Bioservices Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"CDNA","CareDx Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"CDW","CDW Corp","Domestic","A","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors"
"CGEM","Cullinan Oncology Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"CHE","Chemed Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"CIO","City Office REIT Inc","Domestic","A","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs"
"CIX","CompX International Inc","Domestic","A","Industrials","Commercial Services & Supplies","Office Services & Supplies"
"CMCSA","Comcast Corp","Domestic","A","Communication Services","Media","Cable & Satellite"
"CNMD","Conmed Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"COF","Capital One Financial Corp","Domestic","A","Financials","Consumer Finance","Consumer Finance"
"COLL","Collegium Pharmaceutical Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"COLM","Columbia Sportswear Co","Domestic","A","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
"CONN","Conn's Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Computer & Electronics Retail"
"CORT","Corcept Therapeutics Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"CPSI","Computer Programs and Systems Inc","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"CRVL","CorVel Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"CRY","CryoLife Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"CSBR","Champions Oncology Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"CSCO","Cisco Systems Inc","Domestic","A","Information Technology","Communications Equipment","Communications Equipment"
"CTSO","Cytosorbents Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"CVET","Covetrus Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"CVLT","Commvault Systems Inc","Domestic","A","Information Technology","Software","Systems Software"
"CVS","CVS Health Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"CYH","Community Health Systems Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"DAKT","Daktronics Inc","Domestic","A","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments"
"DELL","Dell Technologies Inc","Domestic","A","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"DG","Dollar General Corp","Domestic","A","Consumer Discretionary","Multiline Retail","General Merchandise Stores"
"DKS","Dick's Sporting Goods Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Specialty Stores"
"DNLI","Denali Therapeutics Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"DOX","Amdocs Ltd","Domestic","A","Information Technology","IT Services","IT Consulting & Other Services"
"EBF","Ennis Inc","Domestic","A","Industrials","Commercial Services & Supplies","Commercial Printing"
"EBTC","Enterprise Bancorp Inc","Domestic","A","Financials","Banks","Regional Banks"
"ELMD","Electromed Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"EME","EMCOR Group Inc","Domestic","A","Industrials","Construction & Engineering","Construction & Engineering"
"ENDP","Endo International PLC","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"ENSG","Ensign Group Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
