"Symbol","Description","Universe","Schwab Equity Rating","Sector","Industry","Sub-Industry"
"A","Agilent Technologies Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"AAPL","Apple Inc","Domestic","A","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"ABC","Amerisourcebergen Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"ACN","Accenture PLC","Domestic","A","Information Technology","IT Services","IT Consulting & Other Services"
"ADUS","Addus Homecare Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"AHCO","Adapthealth Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"ALLK","Allakos Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"ALXO","ALX Oncology Holdings Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"AM","Antero Midstream Corp","Domestic","A","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation"
"AMED","Amedisys Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"AMEH","Apollo Medical Holdings Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"AMGN","Amgen Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"AMN","AMN Healthcare Services Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"AMRX","Amneal Pharmaceuticals Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"AN","AutoNation Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Automotive Retail"
"ANGO","AngioDynamics Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"ANIK","Anika Therapeutics Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"ANIP","ANI Pharmaceuticals Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"ANTM","Anthem Inc","Domestic","A","Health Care","Health Care Providers & Services","Managed Health Care"
"ARAY","Accuray Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"ARW","Arrow Electronics Inc","Domestic","A","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors"
"ATHA","Athira Pharma Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"ATKR","Atkore International Group Inc","Domestic","A","Industrials","Electrical Equipment","Electrical Components & Equipment"
"ATLC","Atlanticus Holdings Corp","Domestic","A","Financials","Consumer Finance","Consumer Finance"
"ATLO","Ames National Corp","Domestic","A","Financials","Banks","Regional Banks"
"ATRC","AtriCure Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"ATRI","Atrion Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"ATRS","Antares Pharma Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"AVGO","Broadcom Inc","Domestic","A","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"AVIR","Atea Pharmaceuticals Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"AVNS","Avanos Medical Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"AXGN","AxoGen Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"AZO","Autozone Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Automotive Retail"
"BAC","Bank of America Corp","Domestic","A","Financials","Banks","Diversified Banks"
"BBY","Best Buy Co Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Computer & Electronics Retail"
"BCC","Boise Cascade Co","Domestic","A","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"BCEI","Bonanza Creek Energy Inc","Domestic","A","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production"
"BDSI","BioDelivery Sciences International Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"BHF","Brighthouse Financial Inc","Domestic","A","Financials","Insurance","Life & Health Insurance"
"BIPC","Brookfield Infrastructure Corp","Domestic","A","Utilities","Gas Utilities","Gas Utilities"
"BKE","Buckle Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Apparel Retail"
"BLFS","BioLife Solutions Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"BRBR","Bellring Brands Inc","Domestic","A","Consumer Staples","Personal Products","Personal Products"
"BZH","Beazer Homes USA Inc","Domestic","A","Consumer Discretionary","Household Durables","Homebuilding"
"CADE","Cadence Bancorp","Domestic","A","Financials","Banks","Regional Banks"
"CAH","Cardinal Health Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"CARS","Cars.com Inc","Domestic","A","Communication Services","Interactive Media & Services","Interactive Media & Services"
"CBAN","Colony Bankcorp Inc","Domestic","A","Financials","Banks","Regional Banks"
"CC","Chemours Co","Domestic","A","Materials","Chemicals","Diversified Chemicals"
"CCRN","Cross Country Healthcare Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"CDMO","Avid Bioservices Inc","Domestic","A","Health Care","Biotechnology","Biotechnology"
"CDW","CDW Corp","Domestic","A","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors"
"CFG","Citizens Financial Group Inc","Domestic","A","Financials","Banks","Regional Banks"
"CMCSA","Comcast Corp","Domestic","A","Communication Services","Media","Cable & Satellite"
"CNMD","Conmed Corp","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"CNO","CNO Financial Group Inc","Domestic","A","Financials","Insurance","Life & Health Insurance"
"COF","Capital One Financial Corp","Domestic","A","Financials","Consumer Finance","Consumer Finance"
"COLL","Collegium Pharmaceutical Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"CONN","Conn's Inc","Domestic","A","Consumer Discretionary","Specialty Retail","Computer & Electronics Retail"
"CORT","Corcept Therapeutics Inc","Domestic","A","Health Care","Pharmaceuticals","Pharmaceuticals"
"CPSI","Computer Programs and Systems Inc","Domestic","A","Health Care","Health Care Technology","Health Care Technology"
"CRI","Carter's Inc","Domestic","A","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
"CRVL","CorVel Corp","Domestic","A","Health Care","Health Care Providers & Services","Health Care Services"
"CSBR","Champions Oncology Inc","Domestic","A","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"CSCO","Cisco Systems Inc","Domestic","A","Information Technology","Communications Equipment","Communications Equipment"
"CSII","Cardiovascular Systems Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"CTB","Cooper Tire & Rubber Co","Domestic","A","Consumer Discretionary","Auto Components","Tires & Rubber"
"CTSH","Cognizant Technology Solutions Corp","Domestic","A","Information Technology","IT Services","IT Consulting & Other Services"
"CTXS","Citrix Systems Inc","Domestic","A","Information Technology","Software","Application Software"
"CUBI","Customers Bancorp Inc","Domestic","A","Financials","Banks","Regional Banks"
"CVET","Covetrus Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Distributors"
"CYH","Community Health Systems Inc","Domestic","A","Health Care","Health Care Providers & Services","Health Care Facilities"
"CYRX","Cryoport Inc","Domestic","A","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
